,Restaurant Name,Location,Phone Number,Business Hours,Review Menu
30,남해바다마차,서울 성북구 한천로78길 71 선우빌딩,"02-966-5036(자리예약X, 포장예약만 가능)",15:00-21:00(포장은 그 이후에 가능할 수 있기에 문의),"방어회(3인분/90000원), 목판말똥성게(200g/80000원), 김(2000원)"
52,대흥수산,서울 송파구 가락동 600 가락시장,010-5780-0144,전화로 문의(정확히 표기되어 있지 않음),"시그니처 오마카세 모둠회(4인/200,000원)"
27,탄포포,서울 송파구 백제고분로7길 52-19 1층 탄포포,0507-1315-5518,16:00-00:00(월요일 휴무),모듬사시미(55000원/2-3인분)
23,스시문정,서울 송파구 법원로 128 문정 sk v1 gl 메트로시티 B동 지하1층 119호,0507-1302-2459,"런치 12:00-13:30, 디너 18:30-20:30","런치 오마카세(35,000원)"
184,냠냠물고기 루프탑라운지,서울 송파구 송이로 135 6층 냠냠물고기 2호점,,17:00-23:00(매주 일요일 휴무),사시미 오마카세(1인/65000원)
75,식도원,서울 송파구 양재대로71길 19-15,02-418-7446,17:00-23:00(일요일 휴무),"모듬회(중/70000원), 해물라면(5000원), 히레소주(5000원)"
82,갓덴스시 롯데월드몰점,서울 송파구 올림픽로 300 롯데월드몰 5층,0507-1303-4519,매일 10:30-21:30,
29,미오 소피텔 앰배서더 서울점,서울 송파구 잠실로 209 Sofitel Ambassador Seoul Hotel 3F MIO,02-2092-6102,매일 11:30-22:00 (14:30-18:00),사케갈라디너(250000원/1인)
42,토다이U 목동점,서울 양천구 목동동로 401 부영그린타운2차 지하1층,02-1800-7888,11:50-21:00(15:00-17:30 브레이크타임),"주말&공휴일(64,500원/1인)"
119,냐옹지마,서울 영등포구 도림로141다길 13-2,,,
178,해적창고,"서울 영등포구 선유서로25길 26 1F, 2F",0507-1369-3241,10:00-22:00 (2층 식당 화요일 휴무),"특수부위모둠회(소/62,000원), 페루산 성게(25,000원), 감태밥(4,000원), 상차림(매운탕포함/인당 8,000원)"
4,묘수,서울 영등포구 선유서로25길 9-2 1층,0507-1328-7639,매일 17:00-01:00,"레드아이(6,000원), 묘수스시(27,000원), 어묵우동(7,000원), 타마고산도(6,000원)"
154,스시유,서울 영등포구 신길로 160 1층,0507-1340-4888(예약 가능),17:00-24:00 (매주 월요일 휴무),"오늘의 숙성회(2인/39,000원), 스시B(23,000원), 도미머리맑은탕(15,000원)"
44,아루히 니와,서울 영등포구 여의나루로 42 2층,,디너1부 5시20분/디너2부 7시50분,오마카세(1인/38000원)
98,여의도 쿠마,서울 영등포구 여의대방로69길 7 충무빌딩 2F,02-2645-7222,11:00-22:00 (12:30-18:00 브레이크 타임/일요일 휴무),오마카세 (인당/78000원)
49,회한접시 영등포점,서울 영등포구 영등포로50길 11 1층 회한접시 영등포점,0507-1319-6154,16:00-23:00 (매주 수요일 휴무),"2인세트(35,000원)"
176,바이킹스워프 영등포점(영등포점만 배달함),서울 영등포구 영중로 15 타임스퀘어 5F,1644-9244,,"랍스터찜(210000원), 모둠회(30000원), 모둠해산물(25000원),"
169,동해도 스시,서울 영등포구 은행로 25 안원빌딩 지하1층,0507-1439-6302,11:30-22:00(15:00-17:00 브레이크 타임),주말 공휴일 무한리필 (1인/29800원)
15,금자네회포장,서울 용산구 효창원로42길 38-14,02-717-1664,09:00-18:00(영업시간은 유연한 편),"청어회(100g/3000원), 숭어회(/100g7000원), 자연산 광어(100g/10000원)"
34,OK스시,"서울 은평구 응암로4길 22 대림시장 102호,112호",02-389-9888 (오전9시- 오전 10시 사이에 예약하는 걸 권장),"10:30-재료소진시까지(보통 1-2시면 문을 닫음), 일요일 휴무","OK초밥(7,000원), 회 한접시(20,000원)"
218,한판승부,서울 은평구 통일로83길 11-6 1층,0507-1410-0637,17:00-01:00(평일) 15:00-01:00(금토) *거리두기로 인해 달라질 수 있음,"오늘의 모둠회(58000원), 해장빌런알고니탕(19000원), 중화풍칠리새우 하프(10000원)"
76,막내회집(광교점),서울 종로구 우정국로 4-1,02-737-1551,11:00-22:00(매주 일요일 휴무),"회정식(인당13000원), 회덮밥(7000원)"
196,백령도횟집,서울 종로구 필운대로 112-1,02-737-4650,"11:30-22:00(15:00-17:00 브레이크 타임) 일요일 휴무, 추석 당일 휴무","회덮밥(14000원), 알탕(13000원)"
1,삼미식당 롯데백화점본점,서울 중구 남대문로 81 지하 1층 푸드코트,없음,백화점 영업시간과 동일,"대왕연어초밥(3개/9900원), 갑오징어초밥(4개/9900원), 연어뱃살(3개/15000원), 장어덮밥(16000원)"
235,무모한초밥 시청점,서울 중구 서소문로11길 19 A동 Goon LL층,0507-1423-0176,11:30-19:30(지점별로 상이함/자세한 건 전화로 문의),
144,슌락,서울 중랑구 겸재로 187-10 1층슌락,0507-1322-4459,17:00-22:00(일요일 휴무),"참돔고(소/65000원), 참돔머리구이(10000원), 새우튀김&생선카츠(10000원), 모찌리도후(6000원)"
81,쿠우쿠우 골드 상봉점,서울 중랑구 망우로 316 이지팰리스 3층,02-433-6274,11:00-22:00,"주말(31,900원)"
36,초밥아저씨,신림동 1602-1 신원시장,02-3281-2820,매일 13:00 - 22:00 (14:30~16:30브레이크타임/일요일 휴무),"일반모둠초밥(10개/5000원), 가족모둠초밥(대)(32개/19000원)"
89,마이코 신세계 백화점 강남점,신세계 백화점 강남점 지하 1층 푸드홀,02-2150-2439,10:30-20:00(금토일은 20:30까지),마이코 스피릿 세트(34000원)
69,바이킹스워프 롯데월드몰점(잠실점),신천동 29 롯데월드몰 4F,1644-3210,11:30-21:00(자세한 시간은 영상 참고),대게 프로모션 무한리필(1인/150달러)
115,심해6광구,울산 동구 방어동 1095-1,0507-1320-2448,전화로 문의,홍감펭(1.5kg/75000원)
17,간장게장 무한리필 꽃게생각,인천 계양구 계양문화로59번길 14 유정프라자 201호,0507-1314-9597,"11:00-21:00(16:00-17:00 브레이크 타임), 매달 2, 4번째 월요일 휴무","게장무한리필(1인/24,900원) *2인 이상 주문가능"
90,유진마트(유진참치),인천 계양구 아나지로 466,032-545-6012,10:00-20:30 (주말은 9시부터 시작),"광어지느러미초밥(10개/8,000원), 모둠회(22,000원), 물회(8,000원), 물회육수(1,500원), 민물장어구이(15,000원)"
172,용기포(횟집),인천 남동구 장승로 4,032-464-0090,,"성게(소/3만원), 홍어회(소/5만원), 담치(소/3만원)"
88,남동어시장,인천 남동구 하촌로71번길 45,0507-1438-9994,16:00-01:00(수요일 휴무),"모듬숙성회(60,000원/중)"
112,해구신 (네이버에 인천 '해구신'이라고 검색),"인천 남동구 호구포로810번길 38 1층, 2층",032-461-0346,11:00-03:00 연중무휴,회정식3인분(1인분 현금가/8000원/최소2인분 주문)
209,유씨네횟집,인천 미추홀구 매소홀로 81-13 1층 유씨네횟집,032-889-7778,17:00-24:00(매주 월 휴무),"모듬회세트(대/63,000원), 해물볶음우동(16,000원)"
202,유꼼포차,인천 미추홀구 신기길15번길 15 1층,0507-1365-3326,16:00-00:00(주말은 12:00부터),장어무한리필(1인/39000원)
194,싱싱강남어시장,인천 서구 가정로 305 싱싱 강남어시장,032-572-3336,11:00-01:00,"짐심특선 싱싱회정식(10,000원/인당)"
110,명현만의연평도간장게장 검단점,"인천 서구 완정로 172 서주빌딩 201호, 202호",0507-1379-1314,매일 11:00-21:00,"게장무한리필(1인/25900원), 공기밥(1000원)"
2,고쉐프의 신선한 초밥,인천 서구 청라에메랄드로41번길 20 101호,0507-1392-1848,11:00-22:00(14:30-16:30 브레이크 타임) 일요일 휴무,
96,연수회관,인천 연수구 샘말로7번길 12 1층 연수회관,070-8287-0076,"17:30-23:00 (물건매입, 재료소진 시 조기마감 및 휴무)","인당 3만원 숙성회(2인분), 인당 5만원 숙성회(2인분)"
157,민영활어공장 본점,인천 중구 연안부두로33번길 37,010-5824-3168,매일 08:30-17:00,"오마카세초밥(20,000원), 후토마끼(13,000원), 고등어봉초밥(15,000원), 회덮밥용 생선회(15,000원)"
175,연륙교 조개구이,"인천 중구 영종진광장로 64 1층 101~109호, 112호, 113호",032-751-5988,매일 10:00-22:00,"회정식(1인/20,000원)"
32,선녀풍2호점,인천 중구 용유서로 386 선녀풍2호점,0507-1403-0349,11:00-21:00(수요일 휴무),"용궁물회(소/35000원), 전복죽(18000원), 해물녹두전(15000원)"
130,기요항 (고양점),일산 현대 백화점 건너편 디엠시티 1층,0507-1392-4565,11:00-21:00(15:00-17:00 브레이크 타임),"기요항(15000원), 가니동(22000원), 제이타쿠동(29000원)"
189,갈릴리횟집,전남 고흥군 동일면 덕흥리 170-2,010-8555-7627,11:30-15:00(일요일 휴무/4-10월까지만 운영),회 무한리필 (1인당/25000원)
86,신지횟집,전남 완도군 완도읍 해변공원로 117,061-552-5244,매일 11:00 - 22:00,"전복백반(1인/15000원), 전복죽(15000원)"
67,우정회관,전북 고창군 심원면 심원로 196 우정회관,,금토일 오전 10:00-18:00 (소진시 영업종료),기본 게장 2인분 (1인분/25000원)
167,중앙생선가,전북 익산시 중앙로 22-125,063-854-5353,11:30-22:00 (다를 수 있음),"알내장탕(15000원), 산우럭탕(18000원)"
142,에덴수산,전북 전주시 덕진구 영동길 84,063-211-1702,12:00-21:00(15:00-17:00 브레이크타임/일 휴무),"향어회(2kg/28000원), 향어탕(3인분/8000원)"
151,어느멋진날(위미항),제주 서귀포시 남원읍 위미해안로 97,010-6380-9582,상황에 따라 유연(예약제이므로 문의),10만원 특수부위 오마카세(2인분)
40,올랭이와 물꾸럭 본점,제주 서귀포시 대정읍 신영로 93-5,0507-1321-5022(예약은 전화로 하시면 됩니다),17:00-21:00(금토일는 16:00-22:00),방어코스 4인(1인당/48000원)
8,광어다,제주 서귀포시 표선면 민속해안로 73 광해수산2층,064-787-8838,10:30-20:00(목요일 휴무),"대광어 한 접시(18000원), 광어 탕수어(18000원), 광어 회국수(10000원), 광어 미역국(10000원)"
47,메로왕,제주 제주시 서광로4길 6,064-751-2004,10:00-21:00(주일 휴무),"메로목살지리(15000원), 메로회(23000원), 메로튀김(13000원)"
155,제주 서문수산,제주 제주시 서문로4길 13-2 서문공설시장,,매일 17:00 - 22:00 (화요일 휴무),
227,스시테이카이센동 2호점,제주 제주시 연북로 440,064-727-7272,12:-21:00 (일요일 휴무/14:30-18:00 브레이크 타임),"넘치는 카이센동(38000원), 우니도로동(32000원), 1인 튀김(8000원)"
207,스시우다,제주 제주시 용마로 30,0507-1416-1589,12:00-22:00(수요일 휴무),오마카세A(인당55000원)
198,스시오터루,제주 제주시 인다2길 30,0507-1309-5271,11:00-21:30 (매일 영업이지만 휴무는 문의),사시미 오마카세(1인/50000원)
20,월령작야,제주 제주시 한림읍 월령3길 39-5 1층,,보통 18:00-23:00 (대부분 예약제라서 시간은 문의 필요),"쉐프의 추천 사시미(49000원/2인기준), 콜키지 비용(10000원)"
186,미래수산식당,충남 서산시 대산읍 삼길포1로 47,,매일 10:30-21:00(월요일은 오후 2시까지만),
211,스시다와요,"충남 천안시 서북구 쌍용대로 304 1층, 2층",041-577-4547,매일 11:30-24:00 (인력 문제로 영업시간이 유동적일 수 있음),"스페셜(20,000원)"
16,장씨해녀,,010-8512-1422,전화로 문의,"해물모둠(소/30000원), 말똥성게(한 접시/10000원), 전복죽(2인/20000원)"
25,오복수산 한남카페거리점,,,매일 11:30-21:30 (브레이크타임 15:00-17:00),
35,어사출도,,,영업장마다 상이함,"광어(10000원), 연어(10000원), 특가세트(10000원짜리 우럭회+명태양념구이+매운탕/23000원),"
45,엄마손횟집,,,오후 7시 한 타임만 운영 (매주 수요일 휴무),자연산 강담돔&벵에돔 (350000원/3인)
62,옹기꽃게장,,,매일 11:00-21:00 (15:00-16:30 브레이크 타임/월요일 휴무),"게장무한리필(1인/16900원)+밥은 필수 추가(1000원), 꽃게탕(소/4900원)"
68,,,,10:30-20:00 (연중 무휴/브레이크타임 없음),
72,,,,매일 12:00-20:30 (일요일 휴무),"선어모둠회(중/70000원), 맑은탕(5000원)"
102,광안리(충무로),,,17:00-24:00,"숙성회+육반연반+무제한 육사시미 리필(2-3인/55000원),"
113,끝판왕 무한리필(해물찜),,,매일 오후 17:00-22:00,무한리필 C코스 (인당 20800원)
122,일미횟집,,,11:00-21:00(영업시간 변동 가능성 있으므로 전화로 확인 필수),"쏘가리 1kg (쏘가리회, 회무침 야채, 매운탕, 밥/약 3-4인분)"
133,,,055-835-2229,05:00-22:00(점포에 따라 상이),5만원 어치 활어회
140,KAIJIN ไคจิน,,+66839977192,"17:00-22:00 (금토일만 영업/1, 2부로 운영)",오마카세
161,대막,,,,"2인 세트(33000원), 교쿠산도(4500원)"
163,만남의 집,,032-766-8432,12:00-21:00(일요일 휴무),"모둠회(소/20000원), 매운탕(소/20000원), 공기밥(1000원)"
181,,,알 수 없음,09:00-18:00,"스패너크랩(kg당/11000원), 태국굴(한 팩/3600원), 징거미새우(kg당/12500원),"
182,KAIJIN ไคจิน,,+66839977192,"17:00-22:00 (금토일만 영업/1, 2부로 운영)",오마카세
199,,,031-205-1725,13:00-03:00(수요일은 오후 3-4시부터),
214,,,,,"빙결 고급 숙성회 (21,900원/120g), 빙결 숙성 금태회 (34,000원/80~100g),"
223,라세느,,,평일 11:30-21:30(브레이크타임 14:30-18:00) / 주말 11:30-14:00(점심 1부) 14:00-16:00(점심 2부) / 17:30-19:30(저녁1부) 20:00-22:00(저녁 2부),평일 저녁 (1인당 123000원)
238,연어당,,,17:00-23:00 (일요일 휴무),
